,Zipcode,Property Type,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Amenities,Cleaning Fee,Cancellation Policy,Latitude,Longitude,Price
102837,98102,House,2600.0,6.0,2.0,97.0,16.0,"TV,Internet,Wireless Internet,Kitchen,Pets Allowed,Hot Tub,Indoor Fireplace,Heating,Family/Kid Friendly,Suitable for Events,Washer,Dryer,Smoke Detector,Fire Extinguisher,Essentials,Shampoo",300.0,strict,47.625698103830516,-122.32095362196335,673.0
102894,20009,House,1800.0,3.0,2.5,97.0,6.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",120.0,strict,38.91236329352968,-77.03178265963429,390.0
103052,94601,Loft,500.0,0.0,1.0,100.0,2.0,"TV,Internet,Wireless Internet,Kitchen,Pets Allowed,Pets live on this property,Dog(s),Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials",20.0,moderate,37.77285568747689,-122.23149405364404,95.0
103084,94601,House,900.0,1.0,1.0,95.0,4.0,"Internet,Wireless Internet,Kitchen,Free Parking on Premises,Breakfast,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer",50.0,flexible,37.77749992547745,-122.21193851757843,150.0
103144,97202,Apartment,575.0,0.0,1.0,94.0,2.0,"TV,Internet,Wireless Internet,Kitchen,Heating,Washer,Dryer,Hangers,Iron,Laptop friendly workspace",30.0,moderate,45.50250072115823,-122.63327507387034,110.0
103154,97206,Apartment,1000.0,2.0,1.0,96.0,5.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox,Private entrance",50.0,strict,45.50337920085122,-122.61815318104479,128.0
103332,92109,House,1401.0,3.0,3.0,100.0,10.0,"TV,Cable TV,Internet,Wireless Internet,Wheelchair Accessible,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer",200.0,strict,32.78816541277565,-117.25368195794279,400.0
103382,94118,Apartment,450.0,1.0,1.0,94.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Indoor fireplace,Heating,Family/kid friendly,Smoke detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,strict,37.77675196794901,-122.46890209336956,140.0
103472,94110,Apartment,0.0,1.0,1.0,98.0,2.0,"Internet,Wireless Internet,Kitchen,Indoor fireplace,Heating,Washer,Dryer,Essentials,Shampoo",30.0,flexible,37.76742485102972,-122.42374298981451,110.0
103514,94103,Loft,1500.0,1.0,1.0,96.0,15.0,"Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance",100.0,strict,37.781281973080695,-122.40346044306686,975.0
