,Zipcode,Property Type,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Amenities,Cleaning Fee,Cancellation Policy,Latitude,Longitude,Price
0,78704,Apartment,500.0,1.0,1.0,97.0,2.0,"TV,Cable TV,Wireless Internet,Air conditioning,Free parking on premises,Pets allowed,Pets live on this property,Dog(s),Cat(s),Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron",25.0,strict,30.24776097039163,-97.74527209281084,85.0
22,78746,House,2800.0,4.0,2.5,99.0,8.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",300.0,strict,30.268707914286264,-97.8018635612834,499.0
108,78741,House,1600.0,1.0,1.5,100.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Pets live on this property,Dog(s),Hot tub,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer",100.0,moderate,30.223140036057224,-97.73493707318342,450.0
109,78722,House,900.0,1.0,1.0,80.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Pets live on this property,Dog(s),Cat(s),Heating,Washer,Dryer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace",50.0,strict,30.303035869984523,-97.7141169561813,150.0
122,78702,House,2700.0,3.0,2.0,97.0,8.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,strict,30.266307509818624,-97.72851469746796,275.0
154,78704,House,1000.0,2.0,1.0,99.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad",80.0,moderate,30.25520389939593,-97.76862036143612,160.0
155,78704,House,1600.0,3.0,2.0,100.0,6.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance",90.0,moderate,30.253528756624565,-97.79132722400988,520.0
171,78704,Loft,360.0,2.0,1.0,100.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",75.0,strict,30.253722415592858,-97.74556447667848,230.0
177,78704,House,2100.0,4.0,2.0,100.0,6.0,"TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Cat(s),Heating,Family/kid friendly,Washer,Dryer",50.0,moderate,30.243911950653626,-97.77202810629349,400.0
342,78703,House,1700.0,3.0,2.0,100.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",85.0,strict,30.274335007885032,-97.75441396906858,350.0
499,78704,Condominium,0.0,1.0,1.0,97.0,5.0,"Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Heating,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",35.0,moderate,30.239314390773433,-97.74969162556,108.0
502,78704,Loft,645.0,1.0,2.0,96.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer",75.0,strict,30.258382424955656,-97.77670196596858,109.0
527,78749,House,1175.0,3.0,2.0,98.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Pets live on this property,Dog(s),Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher",150.0,strict,30.20272666958141,-97.84438945512736,55.0
549,78722,House,1300.0,3.0,1.0,100.0,10.0,"Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",90.0,strict,30.29115091197029,-97.71074719832936,299.0
562,78702,House,240.0,1.0,1.0,90.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",5.0,flexible,30.263053993730914,-97.70771314778135,55.0
648,78704,Apartment,600.0,1.0,1.0,92.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Heating,Washer,Dryer,Smoke detector,Fire extinguisher,24-hour check-in",85.0,strict,30.253211576138863,-97.77306207563277,110.0
653,78704,House,950.0,2.0,1.0,100.0,4.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo",80.0,moderate,30.24186427320705,-97.77857892441071,233.0
668,78704,House,1300.0,3.0,2.0,100.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Cat(s),Other pet(s),Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",75.0,strict,30.249446538907023,-97.7461263683162,749.0
784,60611,Apartment,900.0,1.0,1.0,91.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Indoor fireplace,Heating,Smoke detector,Carbon monoxide detector,Fire extinguisher,24-hour check-in,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",95.0,strict,41.9019858380226,-87.62672122396235,175.0
813,60647,Apartment,1200.0,1.0,1.0,94.0,4.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Cat(s),Heating,Washer,Dryer",20.0,moderate,41.91932926910007,-87.7122759114298,65.0
896,02108,Apartment,580.0,1.0,1.0,90.0,3.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Doorman,Elevator in Building,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials",250.0,strict,42.358931308258974,-71.06331100414958,175.0
924,02131,House,200.0,1.0,1.0,93.0,1.0,"Cable TV,Internet,Wireless Internet,Air Conditioning,Free Parking on Premises,Pets live on this property,Cat(s),Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",50.0,strict,42.27571563204639,-71.13013942666514,75.0
1497,10016,Apartment,1250.0,2.0,1.5,96.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials",120.0,moderate,40.74663191523564,-73.98012094934064,389.0
1521,11101,House,96.0,1.0,1.0,97.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",49.0,strict,40.74526639595307,-73.94628556100405,69.0
1537,10002,Apartment,100.0,1.0,1.0,98.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox",50.0,strict,40.719579641989654,-73.99214284169574,115.0
1682,90277,Townhouse,176.0,1.0,1.5,97.0,2.0,"Cable TV,Wireless Internet,Kitchen,Indoor fireplace,Washer,Dryer,Smoke detector,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",25.0,moderate,33.8386668710219,-118.38036931196785,85.0
1868,91607,Villa,1500.0,2.0,1.0,100.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Pets live on this property,Cat(s),Hot tub,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",125.0,strict,34.16700821379396,-118.41117989825644,395.0
2171,90038,House,1615.0,4.0,3.5,98.0,14.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Gym,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials",250.0,strict,34.0854122344225,-118.34192051588516,380.0
2216,90038,Apartment,850.0,2.0,1.0,93.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_50",99.0,moderate,34.092265737938106,-118.34070184935486,157.0
2405,90066,House,1000.0,2.0,1.0,80.0,5.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Shampoo",100.0,strict,33.99722296923318,-118.43998988981951,210.0
2508,90019,Apartment,1800.0,3.0,2.0,93.0,7.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox,Private entrance,Bathtub,Pack ’n Play/travel crib,Room-darkening shades",150.0,strict,34.048155673329724,-118.34583590974272,195.0
2539,90065,House,1100.0,2.0,1.0,99.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Bathtub,Fireplace guards,Room-darkening shades",100.0,strict,34.10780400586229,-118.21864080173872,190.0
2728,90048,House,256.0,1.0,1.0,98.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Pets live on this property,Dog(s),Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance,Bathtub",50.0,flexible,34.077221598296056,-118.35912257104755,87.0
2745,90027,Apartment,1300.0,1.0,1.0,98.0,2.0,"Cable TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Washer,Dryer,Essentials,Shampoo",35.0,moderate,34.09938491420811,-118.29614501806786,70.0
2907,37219,Apartment,1000.0,2.0,2.0,93.0,5.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Gym,Elevator in Building,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",103.0,strict,36.16150032431743,-86.78115243518037,134.0
3012,70113,Apartment,1500.0,2.0,2.5,95.0,6.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Hot tub,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace,Private entrance",200.0,strict,29.934694068677498,-90.08268000113328,690.0
3047,70118,Apartment,300.0,1.0,1.0,95.0,2.0,"Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,Children’s books and toys",20.0,strict,29.944808730476822,-90.1339882987973,40.0
3095,11221,House,1400.0,2.0,1.0,94.0,5.0,"TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",85.0,strict,40.6855422591363,-73.94090222739212,115.0
3259,11225,Apartment,125.0,1.0,1.0,80.0,2.0,"Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly",10.0,moderate,40.65801250575587,-73.96081393517757,50.0
3527,11238,Apartment,600.0,1.0,1.0,96.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Hangers,Hair dryer,Iron,Laptop friendly workspace",75.0,strict,40.67445305996557,-73.95762254128223,140.0
3579,10003,Loft,1200.0,2.0,1.0,100.0,3.0,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Doorman,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,flexible,40.73395202253488,-73.98967742727632,299.0
3689,94121,Apartment,400.0,0.0,1.0,84.0,3.0,"TV,Internet,Wireless Internet,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",75.0,strict,37.77797943313199,-122.47812392128417,115.0
3849,92107,House,1200.0,3.0,2.0,89.0,10.0,"TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Heating,Family/Kid Friendly,Suitable for Events,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",100.0,strict,32.751061868351194,-117.24966474606043,199.0
3908,94131,Apartment,1400.0,3.0,2.0,90.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Hair dryer,Iron,translation missing: en.hosting_amenity_50",110.0,flexible,37.74901727139353,-122.42542729311035,400.0
3969,98122,House,850.0,2.0,1.0,96.0,6.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo",100.0,strict,47.60767478303682,-122.30561848864168,115.0
3970,98122,House,1300.0,3.0,1.0,72.0,8.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer",80.0,strict,47.61240200729462,-122.31120715032816,175.0
4021,98102,Apartment,650.0,1.0,1.0,98.0,3.0,"TV,Internet,Wireless Internet,Kitchen,Pets Allowed,Pets live on this property,Dog(s),Heating,Washer,Dryer",75.0,moderate,47.6221781120089,-122.31757174477795,155.0
4059,92101,Loft,1500.0,1.0,1.0,100.0,2.0,"TV,Internet,Wireless Internet,Air Conditioning,Wheelchair Accessible,Kitchen,Free Parking on Premises,Breakfast,Elevator in Building,Indoor Fireplace,Buzzer/Wireless Intercom,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",50.0,strict,32.71656934328039,-117.15985990620928,125.0
4106,92102,House,350.0,1.0,1.0,95.0,4.0,"TV,Cable TV,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Essentials,Shampoo,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",79.0,strict,32.70985537499981,-117.1438678100105,139.0
4196,92104,House,1400.0,2.0,2.5,99.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Buzzer/Wireless Intercom,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",45.0,moderate,32.75289099770824,-117.13129100429865,280.0
4318,94118,Apartment,550.0,1.0,1.0,98.0,5.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",50.0,strict,37.77495449516485,-122.46180857184143,225.0
4340,92122,Apartment,700.0,1.0,1.0,100.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Free Parking on Premises,Gym,Elevator in Building,Hot Tub,Heating,Washer,Dryer,Smoke Detector",150.0,strict,32.868021897735694,-117.22440211465909,100.0
4352,94110,Apartment,500.0,1.0,1.0,93.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",100.0,strict,37.75399608902932,-122.41770632143594,125.0
4452,94114,House,195.0,1.0,1.0,99.0,2.0,"TV,Wireless Internet,Kitchen,Free parking on premises,Pets allowed,Breakfast,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",54.0,moderate,37.75855259967721,-122.44529889537165,103.0
4576,94110,House,90.0,1.0,1.0,88.0,2.0,"TV,Internet,Wireless Internet,Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",25.0,moderate,37.735532239765405,-122.41959428401334,72.0
4653,98103,House,2100.0,2.0,2.0,100.0,4.0,"Internet,Wireless Internet,Kitchen,Free Parking on Premises,Pets live on this property,Cat(s),Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Essentials",100.0,strict,47.665402031172135,-122.33938691677307,200.0
4687,94116,Apartment,538.0,1.0,2.0,100.0,4.0,"TV,Cable TV,Internet,Kitchen,Free parking on premises,Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",100.0,moderate,37.75265534103964,-122.49064115173643,128.0
4784,97215,Other,1000.0,1.0,1.0,99.0,3.0,"TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Breakfast,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance",20.0,moderate,45.51445279384377,-122.59104667262743,90.0
4852,20012,House,144.0,1.0,1.5,76.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Pets live on this property,Dog(s),Cat(s),Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Shampoo,Hangers,Iron",25.0,moderate,38.97984000496768,-77.02889646853036,60.0
4877,20003,House,0.0,1.0,1.0,93.0,2.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Fire extinguisher,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",5.0,strict,38.88264159797612,-76.97947541944728,65.0
4964,98144,House,1300.0,2.0,2.5,98.0,6.0,"TV,Cable TV,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Shampoo",110.0,strict,47.59379732048903,-122.30514883618577,196.0
5355,94114,Condominium,1900.0,3.0,2.0,100.0,5.0,"Wireless Internet,Kitchen,Free parking on premises,Pets live on this property,Dog(s),Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,24-hour check-in,Hair dryer,Laptop friendly workspace",100.0,moderate,37.76274918440637,-122.44251542727513,250.0
5377,94131,House,750.0,2.0,1.0,96.0,4.0,"Cable TV,Internet,Wireless Internet,Kitchen,Breakfast,Pets live on this property,Dog(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Baby monitor,Outlet covers,High chair,Stair gates,Babysitter recommendations,Pack ’n Play/travel crib",90.0,moderate,37.73625671585987,-122.436769660021,224.0
5388,94107,Apartment,1700.0,3.0,3.5,74.0,6.0,"TV,Cable TV,Wireless Internet,Wheelchair accessible,Kitchen,Free parking on premises,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",100.0,strict,37.760196582403694,-122.39601188538508,700.0
5407,94110,Other,3.0,0.0,2.0,96.0,1.0,"Internet,Wireless Internet,Wheelchair accessible,Kitchen,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Hangers,Hair dryer,Iron,Laptop friendly workspace",120.0,strict,37.74727549832994,-122.41750003469559,600.0
5514,94102,House,2000.0,3.0,2.0,96.0,8.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace",200.0,strict,37.78774450474319,-122.41434778712927,590.0
5639,98103,House,950.0,2.0,1.0,94.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Fire Extinguisher,Essentials",80.0,strict,47.690448568469705,-122.34218739501554,225.0
5695,98133,House,350.0,1.0,2.0,93.0,4.0,"Cable TV,Wireless Internet,Kitchen,Breakfast,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Shampoo",25.0,moderate,47.71403265746829,-122.3559684779975,68.0
5823,20017,Apartment,600.0,1.0,1.0,100.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials",120.0,moderate,38.935931818936794,-76.9925147819112,60.0
5890,20001,Apartment,1100.0,1.0,1.0,92.0,6.0,"TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Self Check-In,Keypad",70.0,moderate,38.91099565098097,-77.02074371588407,139.0
5953,20001,House,650.0,1.0,1.0,97.0,4.0,"Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials",75.0,moderate,38.92769595053574,-77.02287261746336,89.0
6082,97211,Cabin,350.0,1.0,1.0,94.0,2.0,"TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Hot tub,Heating,Family/kid friendly,Suitable for events,Shampoo,Self Check-In,Smartlock",75.0,strict,45.562736179661826,-122.63443604410524,150.0
6106,94610,Apartment,500.0,0.0,1.0,91.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",39.0,strict,37.81148833821139,-122.24330737875928,97.0
6110,94608,House,1800.0,1.0,1.0,91.0,2.0,"Internet,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Pets live on this property,Dog(s),Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",150.0,strict,37.832073432872455,-122.27294991218595,90.0
6124,94611,House,1350.0,3.0,1.0,97.0,7.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher",95.0,strict,37.821396411063006,-122.25415524842005,125.0
6391,78704,House,2300.0,4.0,2.0,96.0,16.0,"TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Pets live on this property,Dog(s),Cat(s),Hot tub,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,24-hour check-in,Hair dryer,Iron,Laptop friendly workspace,Private entrance",150.0,strict,30.244580324392462,-97.78966649906073,700.0
